Groupe;zone;n_rel;code_rel;versant;latitude;longitude;espece_arbre_dominante;rec_espece_dominante_arboree;rec_tot;AJUIVA;APHMON;ARBUNE;ARUITA;ASPACU;ASTsp;BELSYL;BISLAE;BITBIT;BOTISC;BRARET;BROERE;BUPRIG;CARHAL;CARHUM;CENPAN;CEPLEU;CIRARV;CIRMON;CISALB;CISMON;CLEFLA;CLEVIT;CLINEP;CONMAC;CORVAL;CREBUR;CRESAN;CREsp;CUPSEM;DACHIS;DORPEN;ECHVUL;ERICAN;EUPCHA;EUPCYP;EUPsp;FRAORN;FUMCAP;GALAPA;GERROB;GERROT;GLOBIS;HEDHEL;HIEGLA;HIEsp;HIMROB;JUNOXY;LACPER;LACVIR;LAUNOB;LINNAR;LINSP;LONIMP;LONJAP;NARASS;ONOMIN;ONONAT;PANMIL;PETSED;PHIANG;PHILAT;PICHIE;PILOFI;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POTSAN;QUECOC;QUEILE;QUEPUB;REIPIC;RHAALA;ROSCAN;RUBPER;RUBSP;RUSACU;SALVER;SAMASP;SATMON;SCAMAR;SCOHIS;SEDACR;SHEARV;SILITA;SMIASP;SOLSP;SONOLE;SONTER;STAREC;TARsp;THYVUL;TORARV;TRIFSP;TEUCHA;TYRLEU;VIBTIN;VINHIR;VINNIG;VULBRO;ACAMOL;APIsp;STEMED;OSYALB;MUSNEG;SONsp;CIRsp;SPISPI;CARSYL;EUPHELI;MEDsp;MERANN;ALLsp;HELsp;CELAUS;SEDSED;ALOPRA;ARGZAN;VICPIS;VERsp;CELOCC;LIGSIN;PLOsp;GERPUR;ANTCER
B;6;2;B6_2;N;43,643768;3,869299;PINHAL;80;95;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;7;80;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;6;3;B6_3;N;43,643431;3,869504;PINHAL;90;90;0;0;20;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;7;1;A7_1;S;43,6413325;3,8680706;QUECOC;15;90,2;0;19;0;0;0;0;0;20;0;0;0;0;0;30;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;7;2;A7_2;S;43,6411658;3,8679556;PINHAL;4,3;91,2;0;0;0;0;3;0;0;0;1;0;27;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4,3;0;0,5;0;0;0;8;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,33;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;7;3;A7_3;S;43,06411437;3,8680988;BRARET;43;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;12;1;A12_1;S;43,64058;3,46676;PINHAL;80;50;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;12;2;A12_2;S;43,6489;3,86663;PINHAL;77;70;0;0;0;0;5;10;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;12;3;A12_3;S;43,64072;3,8665;PINHAL;12;100;0;0;0;0;0;20;0;0;0;0;0;75;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;5;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;10;1;A10_1;S;43,639896;3,870301;QUEILE;33;90;0;0;1;0;9;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;13;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;10;2;A10_2;S;43,614976;3,870524;PINHAL;90;99;0;0;0;0;9;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;12;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
